Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %
000,001,475278,501157,48.67
000,010,284778,697059,29.0
000,011,194577,780437,19.96
000,100,40,999931,0.0
000,101,264900,711318,27.14
000,110,19992,974156,2.01
000,111,483222,483334,49.99
001,000,501157,475278,51.33
001,010,833751,148549,84.88
001,011,934666,52339,94.7
001,100,572,999161,0.06
001,101,835525,140040,85.65
001,110,469343,469586,49.99
001,111,974142,20158,97.97
010,000,697059,284778,71.0
010,001,148549,833751,15.12
010,011,497804,470553,51.41
010,100,482079,491470,49.52
010,101,483933,487164,49.83
010,110,138354,837177,14.18
010,111,710671,265663,72.79
011,000,780437,194577,80.04
011,001,52339,934666,5.3
011,010,470553,497804,48.59
011,100,480093,480321,49.99
011,101,492111,481461,50.55
011,110,999151,560,99.94
011,111,999953,34,100.0
100,000,999931,40,100.0
100,001,999161,572,99.94
100,010,491470,482079,50.48
100,011,480321,480093,50.01
100,101,468592,499676,48.39
100,110,52017,935041,5.27
100,111,780798,194058,80.09
101,000,711318,264900,72.86
101,001,140040,835525,14.35
101,010,487164,483933,50.17
101,011,481461,492111,49.45
101,100,499676,468592,51.61
101,110,147174,835171,14.98
101,111,696311,285397,70.93
110,000,974156,19992,97.99
110,001,469586,469343,50.01
110,010,837177,138354,85.82
110,011,560,999151,0.06
110,100,935041,52017,94.73
110,101,835171,147174,85.02
110,111,501581,474730,51.38
111,000,483334,483222,50.01
111,001,20158,974142,2.03
111,010,265663,710671,27.21
111,011,34,999953,0.0
111,100,194058,780798,19.91
111,101,285397,696311,29.07
111,110,474730,501581,48.62
