Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %
000,001,1059,1095,49.16
000,010,656,1483,30.67
000,011,470,1663,22.03
000,100,0,2200,0.0
000,101,633,1499,29.69
000,110,31,2161,1.41
000,111,1061,1065,49.91
001,000,1095,1059,50.84
001,010,1885,273,87.35
001,011,2088,84,96.13
001,100,3,2196,0.14
001,101,2065,99,95.43
001,110,1068,990,51.9
001,111,2158,30,98.63
010,000,1483,656,69.33
010,001,273,1885,12.65
010,011,1029,1066,49.12
010,100,893,1240,41.87
010,101,1072,1065,50.16
010,110,97,2062,4.49
010,111,1498,648,69.8
011,000,1663,470,77.97
011,001,84,2088,3.87
011,010,1066,1029,50.88
011,100,1030,1072,49.0
011,101,1250,877,58.77
011,110,2197,2,99.91
011,111,2200,0,100.0
100,000,2200,0,100.0
100,001,2196,3,99.86
100,010,1240,893,58.13
100,011,1072,1030,51.0
100,101,1055,1073,49.58
100,110,80,2083,3.7
100,111,1695,431,79.73
101,000,1499,633,70.31
101,001,99,2065,4.57
101,010,1065,1072,49.84
101,011,877,1250,41.23
101,100,1073,1055,50.42
101,110,290,1872,13.41
101,111,1527,629,70.83
110,000,2161,31,98.59
110,001,990,1068,48.1
110,010,2062,97,95.51
110,011,2,2197,0.09
110,100,2083,80,96.3
110,101,1872,290,86.59
110,111,1105,1040,51.52
111,000,1065,1061,50.09
111,001,30,2158,1.37
111,010,648,1498,30.2
111,011,0,2200,0.0
111,100,431,1695,20.27
111,101,629,1527,29.17
111,110,1040,1105,48.48
