Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %,Player 2 Win %
000,001,475278,501157,47.53,50.12
000,010,284778,697059,28.48,69.71
000,011,194577,780437,19.46,78.04
000,100,40,999931,0.0,99.99
000,101,264900,711318,26.49,71.13
000,110,19992,974156,2.0,97.42
000,111,483222,483334,48.32,48.33
001,000,501157,475278,50.12,47.53
001,010,833751,148549,83.38,14.85
001,011,934666,52339,93.47,5.23
001,100,572,999161,0.06,99.92
001,101,835525,140040,83.55,14.0
001,110,469343,469586,46.93,46.96
001,111,974142,20158,97.41,2.02
010,000,697059,284778,69.71,28.48
010,001,148549,833751,14.85,83.38
010,011,497804,470553,49.78,47.06
010,100,482079,491470,48.21,49.15
010,101,483933,487164,48.39,48.72
010,110,138354,837177,13.84,83.72
010,111,710671,265663,71.07,26.57
011,000,780437,194577,78.04,19.46
011,001,52339,934666,5.23,93.47
011,010,470553,497804,47.06,49.78
011,100,480093,480321,48.01,48.03
011,101,492111,481461,49.21,48.15
011,110,999151,560,99.92,0.06
011,111,999953,34,100.0,0.0
100,000,999931,40,99.99,0.0
100,001,999161,572,99.92,0.06
100,010,491470,482079,49.15,48.21
100,011,480321,480093,48.03,48.01
100,101,468592,499676,46.86,49.97
100,110,52017,935041,5.2,93.5
100,111,780798,194058,78.08,19.41
101,000,711318,264900,71.13,26.49
101,001,140040,835525,14.0,83.55
101,010,487164,483933,48.72,48.39
101,011,481461,492111,48.15,49.21
101,100,499676,468592,49.97,46.86
101,110,147174,835171,14.72,83.52
101,111,696311,285397,69.63,28.54
110,000,974156,19992,97.42,2.0
110,001,469586,469343,46.96,46.93
110,010,837177,138354,83.72,13.84
110,011,560,999151,0.06,99.92
110,100,935041,52017,93.5,5.2
110,101,835171,147174,83.52,14.72
110,111,501581,474730,50.16,47.47
111,000,483334,483222,48.33,48.32
111,001,20158,974142,2.02,97.41
111,010,265663,710671,26.57,71.07
111,011,34,999953,0.0,100.0
111,100,194058,780798,19.41,78.08
111,101,285397,696311,28.54,69.63
111,110,474730,501581,47.47,50.16
